Config: 1000 Grid Graph 100x10
MSE: 2620.5184810000032
Cycle No.: 1
ID 0	 sum 61.0	 weight 1.0	 Average 61.0
ID 1	 sum 12.0	 weight 1.0	 Average 12.0
ID 2	 sum 3.0	 weight 1.0	 Average 3.0
ID 3	 sum 43.0	 weight 1.0	 Average 43.0
ID 4	 sum 38.0	 weight 1.0	 Average 38.0
ID 5	 sum 52.0	 weight 1.0	 Average 52.0
ID 6	 sum 52.0	 weight 1.0	 Average 52.0
ID 7	 sum 40.0	 weight 1.0	 Average 40.0
ID 8	 sum 84.0	 weight 1.0	 Average 84.0
ID 9	 sum 44.0	 weight 1.0	 Average 44.0
ID 10	 sum 7.0	 weight 1.0	 Average 7.0
ID 11	 sum 98.0	 weight 1.0	 Average 98.0
ID 12	 sum 90.0	 weight 1.0	 Average 90.0
ID 13	 sum 43.0	 weight 1.0	 Average 43.0
ID 14	 sum 63.0	 weight 1.0	 Average 63.0
ID 15	 sum 3.0	 weight 1.0	 Average 3.0
ID 16	 sum 6.0	 weight 1.0	 Average 6.0
ID 17	 sum 2.0	 weight 1.0	 Average 2.0
ID 18	 sum 92.0	 weight 1.0	 Average 92.0
ID 19	 sum 86.0	 weight 1.0	 Average 86.0
ID 20	 sum 23.0	 weight 1.0	 Average 23.0
ID 21	 sum 86.0	 weight 1.0	 Average 86.0
ID 22	 sum 49.0	 weight 1.0	 Average 49.0
ID 23	 sum 61.0	 weight 1.0	 Average 61.0
ID 24	 sum 5.0	 weight 1.0	 Average 5.0
ID 25	 sum 96.0	 weight 1.0	 Average 96.0
ID 26	 sum 34.0	 weight 1.0	 Average 34.0
ID 27	 sum 16.0	 weight 1.0	 Average 16.0
ID 28	 sum 4.0	 weight 1.0	 Average 4.0
ID 29	 sum 36.0	 weight 1.0	 Average 36.0
ID 30	 sum 85.0	 weight 1.0	 Average 85.0
ID 31	 sum 68.0	 weight 1.0	 Average 68.0
ID 32	 sum 63.0	 weight 1.0	 Average 63.0
ID 33	 sum 65.0	 weight 1.0	 Average 65.0
ID 34	 sum 14.0	 weight 1.0	 Average 14.0
ID 35	 sum 98.0	 weight 1.0	 Average 98.0
ID 36	 sum 72.0	 weight 1.0	 Average 72.0
ID 37	 sum 99.0	 weight 1.0	 Average 99.0
ID 38	 sum 16.0	 weight 1.0	 Average 16.0
ID 39	 sum 81.0	 weight 1.0	 Average 81.0
ID 40	 sum 6.0	 weight 1.0	 Average 6.0
ID 41	 sum 67.0	 weight 1.0	 Average 67.0
ID 42	 sum 68.0	 weight 1.0	 Average 68.0
ID 43	 sum 66.0	 weight 1.0	 Average 66.0
ID 44	 sum 87.0	 weight 1.0	 Average 87.0
ID 45	 sum 28.0	 weight 1.0	 Average 28.0
ID 46	 sum 6.0	 weight 1.0	 Average 6.0
ID 47	 sum 51.0	 weight 1.0	 Average 51.0
ID 48	 sum 14.0	 weight 1.0	 Average 14.0
ID 49	 sum 59.0	 weight 1.0	 Average 59.0
ID 50	 sum 88.0	 weight 1.0	 Average 88.0
ID 51	 sum 40.0	 weight 1.0	 Average 40.0
ID 52	 sum 23.0	 weight 1.0	 Average 23.0
ID 53	 sum 66.0	 weight 1.0	 Average 66.0
ID 54	 sum 76.0	 weight 1.0	 Average 76.0
ID 55	 sum 68.0	 weight 1.0	 Average 68.0
ID 56	 sum 52.0	 weight 1.0	 Average 52.0
ID 57	 sum 70.0	 weight 1.0	 Average 70.0
ID 58	 sum 96.0	 weight 1.0	 Average 96.0
ID 59	 sum 31.0	 weight 1.0	 Average 31.0
ID 60	 sum 20.0	 weight 1.0	 Average 20.0
ID 61	 sum 50.0	 weight 1.0	 Average 50.0
ID 62	 sum 9.0	 weight 1.0	 Average 9.0
ID 63	 sum 94.0	 weight 1.0	 Average 94.0
ID 64	 sum 57.0	 weight 1.0	 Average 57.0
ID 65	 sum 13.0	 weight 1.0	 Average 13.0
ID 66	 sum 11.0	 weight 1.0	 Average 11.0
ID 67	 sum 57.0	 weight 1.0	 Average 57.0
ID 68	 sum 83.0	 weight 1.0	 Average 83.0
ID 69	 sum 52.0	 weight 1.0	 Average 52.0
ID 70	 sum 51.0	 weight 1.0	 Average 51.0
ID 71	 sum 93.0	 weight 1.0	 Average 93.0
ID 72	 sum 18.0	 weight 1.0	 Average 18.0
ID 73	 sum 36.0	 weight 1.0	 Average 36.0
ID 74	 sum 12.0	 weight 1.0	 Average 12.0
ID 75	 sum 62.0	 weight 1.0	 Average 62.0
ID 76	 sum 66.0	 weight 1.0	 Average 66.0
ID 77	 sum 70.0	 weight 1.0	 Average 70.0
ID 78	 sum 37.0	 weight 1.0	 Average 37.0
ID 79	 sum 76.0	 weight 1.0	 Average 76.0
ID 80	 sum 91.0	 weight 1.0	 Average 91.0
ID 81	 sum 86.0	 weight 1.0	 Average 86.0
ID 82	 sum 62.0	 weight 1.0	 Average 62.0
ID 83	 sum 73.0	 weight 1.0	 Average 73.0
ID 84	 sum 44.0	 weight 1.0	 Average 44.0
ID 85	 sum 85.0	 weight 1.0	 Average 85.0
ID 86	 sum 55.0	 weight 1.0	 Average 55.0
ID 87	 sum 16.0	 weight 1.0	 Average 16.0
ID 88	 sum 20.0	 weight 1.0	 Average 20.0
ID 89	 sum 89.0	 weight 1.0	 Average 89.0
ID 90	 sum 4.0	 weight 1.0	 Average 4.0
ID 91	 sum 54.0	 weight 1.0	 Average 54.0
ID 92	 sum 46.0	 weight 1.0	 Average 46.0
ID 93	 sum 71.0	 weight 1.0	 Average 71.0
ID 94	 sum 71.0	 weight 1.0	 Average 71.0
ID 95	 sum 11.0	 weight 1.0	 Average 11.0
ID 96	 sum 71.0	 weight 1.0	 Average 71.0
ID 97	 sum 85.0	 weight 1.0	 Average 85.0
ID 98	 sum 48.0	 weight 1.0	 Average 48.0
ID 99	 sum 8.0	 weight 1.0	 Average 8.0
ID 100	 sum 71.0	 weight 1.0	 Average 71.0
ID 101	 sum 28.0	 weight 1.0	 Average 28.0
ID 102	 sum 79.0	 weight 1.0	 Average 79.0
ID 103	 sum 43.0	 weight 1.0	 Average 43.0
ID 104	 sum 64.0	 weight 1.0	 Average 64.0
ID 105	 sum 13.0	 weight 1.0	 Average 13.0
ID 106	 sum 9.0	 weight 1.0	 Average 9.0
ID 107	 sum 90.0	 weight 1.0	 Average 90.0
ID 108	 sum 1.0	 weight 1.0	 Average 1.0
ID 109	 sum 42.0	 weight 1.0	 Average 42.0
ID 110	 sum 41.0	 weight 1.0	 Average 41.0
ID 111	 sum 10.0	 weight 1.0	 Average 10.0
ID 112	 sum 42.0	 weight 1.0	 Average 42.0
ID 113	 sum 75.0	 weight 1.0	 Average 75.0
ID 114	 sum 7.0	 weight 1.0	 Average 7.0
ID 115	 sum 81.0	 weight 1.0	 Average 81.0
ID 116	 sum 76.0	 weight 1.0	 Average 76.0
ID 117	 sum 31.0	 weight 1.0	 Average 31.0
ID 118	 sum 58.0	 weight 1.0	 Average 58.0
ID 119	 sum 65.0	 weight 1.0	 Average 65.0
ID 120	 sum 98.0	 weight 1.0	 Average 98.0
ID 121	 sum 85.0	 weight 1.0	 Average 85.0
ID 122	 sum 84.0	 weight 1.0	 Average 84.0
ID 123	 sum 55.0	 weight 1.0	 Average 55.0
ID 124	 sum 71.0	 weight 1.0	 Average 71.0
ID 125	 sum 28.0	 weight 1.0	 Average 28.0
ID 126	 sum 21.0	 weight 1.0	 Average 21.0
ID 127	 sum 93.0	 weight 1.0	 Average 93.0
ID 128	 sum 85.0	 weight 1.0	 Average 85.0
ID 129	 sum 87.0	 weight 1.0	 Average 87.0
ID 130	 sum 67.0	 weight 1.0	 Average 67.0
ID 131	 sum 49.0	 weight 1.0	 Average 49.0
ID 132	 sum 44.0	 weight 1.0	 Average 44.0
ID 133	 sum 95.0	 weight 1.0	 Average 95.0
ID 134	 sum 41.0	 weight 1.0	 Average 41.0
ID 135	 sum 32.0	 weight 1.0	 Average 32.0
ID 136	 sum 82.0	 weight 1.0	 Average 82.0
ID 137	 sum 81.0	 weight 1.0	 Average 81.0
ID 138	 sum 32.0	 weight 1.0	 Average 32.0
ID 139	 sum 30.0	 weight 1.0	 Average 30.0
ID 140	 sum 83.0	 weight 1.0	 Average 83.0
ID 141	 sum 5.0	 weight 1.0	 Average 5.0
ID 142	 sum 83.0	 weight 1.0	 Average 83.0
ID 143	 sum 42.0	 weight 1.0	 Average 42.0
ID 144	 sum 47.0	 weight 1.0	 Average 47.0
ID 145	 sum 86.0	 weight 1.0	 Average 86.0
ID 146	 sum 33.0	 weight 1.0	 Average 33.0
ID 147	 sum 2.0	 weight 1.0	 Average 2.0
ID 148	 sum 34.0	 weight 1.0	 Average 34.0
ID 149	 sum 21.0	 weight 1.0	 Average 21.0
ID 150	 sum 12.0	 weight 1.0	 Average 12.0
ID 151	 sum 56.0	 weight 1.0	 Average 56.0
ID 152	 sum 10.0	 weight 1.0	 Average 10.0
ID 153	 sum 22.0	 weight 1.0	 Average 22.0
ID 154	 sum 38.0	 weight 1.0	 Average 38.0
ID 155	 sum 89.0	 weight 1.0	 Average 89.0
ID 156	 sum 34.0	 weight 1.0	 Average 34.0
ID 157	 sum 75.0	 weight 1.0	 Average 75.0
ID 158	 sum 97.0	 weight 1.0	 Average 97.0
ID 159	 sum 59.0	 weight 1.0	 Average 59.0
ID 160	 sum 38.0	 weight 1.0	 Average 38.0
ID 161	 sum 20.0	 weight 1.0	 Average 20.0
ID 162	 sum 17.0	 weight 1.0	 Average 17.0
ID 163	 sum 25.0	 weight 1.0	 Average 25.0
ID 164	 sum 17.0	 weight 1.0	 Average 17.0
ID 165	 sum 47.0	 weight 1.0	 Average 47.0
ID 166	 sum 75.0	 weight 1.0	 Average 75.0
ID 167	 sum 85.0	 weight 1.0	 Average 85.0
ID 168	 sum 24.0	 weight 1.0	 Average 24.0
ID 169	 sum 35.0	 weight 1.0	 Average 35.0
ID 170	 sum 73.0	 weight 1.0	 Average 73.0
ID 171	 sum 28.0	 weight 1.0	 Average 28.0
ID 172	 sum 0.0	 weight 1.0	 Average 0.0
ID 173	 sum 81.0	 weight 1.0	 Average 81.0
