Cycle No.: 1
MSE: 844.0204
ID 0	 load 4.0
ID 1	 load 82.0
ID 2	 load 54.0
ID 3	 load 33.0
ID 4	 load 66.0
ID 5	 load 37.0
ID 6	 load 97.0
ID 7	 load 47.0
ID 8	 load 42.0
ID 9	 load 11.0
ID 10	 load 54.0
ID 11	 load 75.0
ID 12	 load 14.0
ID 13	 load 72.0
ID 14	 load 67.0
ID 15	 load 65.0
ID 16	 load 94.0
ID 17	 load 57.0
ID 18	 load 8.0
ID 19	 load 62.0
ID 20	 load 7.0
ID 21	 load 35.0
ID 22	 load 61.0
ID 23	 load 24.0
ID 24	 load 60.0
ID 25	 load 36.0
ID 26	 load 74.0
ID 27	 load 92.0
ID 28	 load 56.0
ID 29	 load 64.0
ID 30	 load 51.0
ID 31	 load 59.0
ID 32	 load 74.0
ID 33	 load 51.0
ID 34	 load 70.0
ID 35	 load 29.0
ID 36	 load 47.0
ID 37	 load 47.0
ID 38	 load 78.0
ID 39	 load 27.0
ID 40	 load 5.0
ID 41	 load 2.0
ID 42	 load 46.0
ID 43	 load 70.0
ID 44	 load 87.0
ID 45	 load 81.0
ID 46	 load 84.0
ID 47	 load 49.0
ID 48	 load 98.0
ID 49	 load 65.0
ID 50	 load 99.0
ID 51	 load 45.0
ID 52	 load 1.0
ID 53	 load 53.0
ID 54	 load 9.0
ID 55	 load 64.0
ID 56	 load 89.0
ID 57	 load 64.0
ID 58	 load 2.0
ID 59	 load 33.0
ID 60	 load 84.0
ID 61	 load 45.0
ID 62	 load 83.0
ID 63	 load 6.0
ID 64	 load 1.0
ID 65	 load 60.0
ID 66	 load 47.0
ID 67	 load 32.0
ID 68	 load 6.0
ID 69	 load 69.0
ID 70	 load 97.0
ID 71	 load 29.0
ID 72	 load 52.0
ID 73	 load 60.0
ID 74	 load 64.0
ID 75	 load 87.0
ID 76	 load 92.0
ID 77	 load 61.0
ID 78	 load 37.0
ID 79	 load 26.0
ID 80	 load 28.0
ID 81	 load 97.0
ID 82	 load 35.0
ID 83	 load 66.0
ID 84	 load 63.0
ID 85	 load 81.0
ID 86	 load 33.0
ID 87	 load 24.0
ID 88	 load 44.0
ID 89	 load 98.0
ID 90	 load 61.0
ID 91	 load 13.0
ID 92	 load 26.0
ID 93	 load 19.0
ID 94	 load 76.0
ID 95	 load 39.0
ID 96	 load 60.0
ID 97	 load 42.0
ID 98	 load 21.0
ID 99	 load 91.0
ID 100	 load 72.0
ID 101	 load 79.0
ID 102	 load 87.0
ID 103	 load 57.0
ID 104	 load 76.0
ID 105	 load 98.0
ID 106	 load 38.0
ID 107	 load 70.0
ID 108	 load 31.0
ID 109	 load 8.0
ID 110	 load 31.0
ID 111	 load 61.0
ID 112	 load 96.0
ID 113	 load 83.0
ID 114	 load 40.0
ID 115	 load 46.0
ID 116	 load 86.0
ID 117	 load 49.0
ID 118	 load 12.0
ID 119	 load 15.0
ID 120	 load 7.0
ID 121	 load 73.0
ID 122	 load 10.0
ID 123	 load 37.0
ID 124	 load 49.0
ID 125	 load 23.0
ID 126	 load 38.0
ID 127	 load 53.0
ID 128	 load 14.0
ID 129	 load 10.0
ID 130	 load 62.0
ID 131	 load 91.0
ID 132	 load 54.0
ID 133	 load 27.0
ID 134	 load 63.0
ID 135	 load 15.0
ID 136	 load 17.0
ID 137	 load 70.0
ID 138	 load 43.0
ID 139	 load 39.0
ID 140	 load 15.0
ID 141	 load 69.0
ID 142	 load 96.0
ID 143	 load 56.0
ID 144	 load 5.0
ID 145	 load 88.0
ID 146	 load 55.0
ID 147	 load 51.0
ID 148	 load 90.0
ID 149	 load 2.0
ID 150	 load 13.0
ID 151	 load 83.0
ID 152	 load 50.0
ID 153	 load 35.0
ID 154	 load 22.0
ID 155	 load 15.0
ID 156	 load 45.0
ID 157	 load 41.0
ID 158	 load 80.0
ID 159	 load 46.0
ID 160	 load 40.0
ID 161	 load 77.0
ID 162	 load 44.0
ID 163	 load 29.0
ID 164	 load 86.0
ID 165	 load 83.0
ID 166	 load 10.0
ID 167	 load 87.0
ID 168	 load 15.0
ID 169	 load 53.0
ID 170	 load 87.0
ID 171	 load 84.0
ID 172	 load 22.0
ID 173	 load 60.0
ID 174	 load 88.0
ID 175	 load 95.0
ID 176	 load 30.0
ID 177	 load 86.0
ID 178	 load 45.0
ID 179	 load 51.0
ID 180	 load 71.0
ID 181	 load 60.0
ID 182	 load 27.0
ID 183	 load 66.0
ID 184	 load 1.0
ID 185	 load 87.0
ID 186	 load 88.0
ID 187	 load 94.0
ID 188	 load 42.0
ID 189	 load 5.0
ID 190	 load 41.0
ID 191	 load 92.0
ID 192	 load 31.0
ID 193	 load 51.0
ID 194	 load 27.0
ID 195	 load 90.0
ID 196	 load 80.0
ID 197	 load 71.0
ID 198	 load 60.0
ID 199	 load 16.0
ID 200	 load 51.0
ID 201	 load 19.0
ID 202	 load 25.0
ID 203	 load 78.0
ID 204	 load 52.0
ID 205	 load 87.0
ID 206	 load 42.0
ID 207	 load 78.0
ID 208	 load 31.0
ID 209	 load 81.0
ID 210	 load 44.0
ID 211	 load 10.0
ID 212	 load 31.0
ID 213	 load 89.0
ID 214	 load 92.0
ID 215	 load 56.0
ID 216	 load 75.0
ID 217	 load 91.0
ID 218	 load 53.0
ID 219	 load 43.0
ID 220	 load 22.0
ID 221	 load 23.0
ID 222	 load 70.0
ID 223	 load 43.0
ID 224	 load 80.0
ID 225	 load 4.0
ID 226	 load 21.0
ID 227	 load 1.0
ID 228	 load 5.0
ID 229	 load 30.0
ID 230	 load 72.0
ID 231	 load 74.0
ID 232	 load 93.0
ID 233	 load 47.0
ID 234	 load 24.0
ID 235	 load 63.0
ID 236	 load 33.0
ID 237	 load 49.0
ID 238	 load 95.0
ID 239	 load 87.0
ID 240	 load 1.0
ID 241	 load 53.0
ID 242	 load 1.0
ID 243	 load 99.0
ID 244	 load 99.0
ID 245	 load 14.0
ID 246	 load 62.0
ID 247	 load 28.0
ID 248	 load 75.0
ID 249	 load 87.0
ID 250	 load 18.0
ID 251	 load 20.0
ID 252	 load 76.0
ID 253	 load 85.0
ID 254	 load 66.0
ID 255	 load 4.0
ID 256	 load 84.0
ID 257	 load 46.0
ID 258	 load 28.0
ID 259	 load 18.0
ID 260	 load 71.0
ID 261	 load 12.0
ID 262	 load 19.0
ID 263	 load 32.0
ID 264	 load 20.0
ID 265	 load 64.0
ID 266	 load 31.0
ID 267	 load 89.0
ID 268	 load 7.0
ID 269	 load 27.0
ID 270	 load 96.0
ID 271	 load 51.0
ID 272	 load 92.0
ID 273	 load 7.0
ID 274	 load 19.0
ID 275	 load 20.0
ID 276	 load 76.0
ID 277	 load 8.0
ID 278	 load 34.0
ID 279	 load 40.0
ID 280	 load 18.0
ID 281	 load 30.0
ID 282	 load 42.0
ID 283	 load 70.0
ID 284	 load 53.0
ID 285	 load 5.0
ID 286	 load 81.0
ID 287	 load 29.0
ID 288	 load 72.0
ID 289	 load 46.0
ID 290	 load 34.0
ID 291	 load 34.0
ID 292	 load 22.0
ID 293	 load 95.0
ID 294	 load 65.0
ID 295	 load 1.0
ID 296	 load 39.0
ID 297	 load 31.0
ID 298	 load 40.0
ID 299	 load 27.0
ID 300	 load 0.0
ID 301	 load 48.0
ID 302	 load 93.0
ID 303	 load 93.0
ID 304	 load 30.0
ID 305	 load 45.0
ID 306	 load 13.0
ID 307	 load 38.0
ID 308	 load 10.0
ID 309	 load 53.0
ID 310	 load 85.0
ID 311	 load 64.0
ID 312	 load 36.0
ID 313	 load 4.0
ID 314	 load 5.0
ID 315	 load 66.0
ID 316	 load 9.0
ID 317	 load 39.0
ID 318	 load 96.0
ID 319	 load 88.0
ID 320	 load 77.0
ID 321	 load 68.0
ID 322	 load 94.0
ID 323	 load 55.0
ID 324	 load 33.0
ID 325	 load 0.0
ID 326	 load 15.0
ID 327	 load 63.0
ID 328	 load 69.0
ID 329	 load 87.0
ID 330	 load 90.0
ID 331	 load 73.0
ID 332	 load 59.0
ID 333	 load 81.0
ID 334	 load 25.0
ID 335	 load 21.0
ID 336	 load 22.0
ID 337	 load 6.0
ID 338	 load 32.0
ID 339	 load 26.0
ID 340	 load 52.0
ID 341	 load 63.0
ID 342	 load 43.0
ID 343	 load 60.0
ID 344	 load 88.0
ID 345	 load 17.0
ID 346	 load 47.0
ID 347	 load 47.0
ID 348	 load 86.0
ID 349	 load 55.0
ID 350	 load 69.0
ID 351	 load 98.0
ID 352	 load 17.0
ID 353	 load 81.0
ID 354	 load 13.0
ID 355	 load 84.0
ID 356	 load 78.0
ID 357	 load 29.0
ID 358	 load 77.0
ID 359	 load 63.0
ID 360	 load 64.0
ID 361	 load 78.0
ID 362	 load 20.0
ID 363	 load 8.0
ID 364	 load 39.0
ID 365	 load 60.0
ID 366	 load 92.0
ID 367	 load 78.0
ID 368	 load 28.0
ID 369	 load 58.0
ID 370	 load 39.0
ID 371	 load 83.0
ID 372	 load 91.0
ID 373	 load 97.0
ID 374	 load 78.0
ID 375	 load 29.0
ID 376	 load 77.0
ID 377	 load 96.0
ID 378	 load 73.0
ID 379	 load 42.0
ID 380	 load 40.0
ID 381	 load 2.0
ID 382	 load 64.0
ID 383	 load 88.0
ID 384	 load 88.0
ID 385	 load 57.0
ID 386	 load 22.0
ID 387	 load 75.0
ID 388	 load 43.0
ID 389	 load 77.0
ID 390	 load 45.0
ID 391	 load 96.0
ID 392	 load 32.0
ID 393	 load 92.0
ID 394	 load 23.0
ID 395	 load 68.0
ID 396	 load 16.0
ID 397	 load 72.0
ID 398	 load 46.0
ID 399	 load 20.0
ID 400	 load 26.0
ID 401	 load 24.0
ID 402	 load 98.0
ID 403	 load 92.0
ID 404	 load 99.0
ID 405	 load 95.0
ID 406	 load 15.0
ID 407	 load 57.0
