Config: 1000 Star Graph
MSE: 2569.0705960000014
Cycle No.: 1
ID 0	 sum 99.0	 weight 1.0	 Average 99.0
ID 1	 sum 95.0	 weight 1.0	 Average 95.0
ID 2	 sum 74.0	 weight 1.0	 Average 74.0
ID 3	 sum 91.0	 weight 1.0	 Average 91.0
ID 4	 sum 11.0	 weight 1.0	 Average 11.0
ID 5	 sum 22.0	 weight 1.0	 Average 22.0
ID 6	 sum 65.0	 weight 1.0	 Average 65.0
ID 7	 sum 17.0	 weight 1.0	 Average 17.0
ID 8	 sum 26.0	 weight 1.0	 Average 26.0
ID 9	 sum 2.0	 weight 1.0	 Average 2.0
ID 10	 sum 59.0	 weight 1.0	 Average 59.0
ID 11	 sum 49.0	 weight 1.0	 Average 49.0
ID 12	 sum 67.0	 weight 1.0	 Average 67.0
ID 13	 sum 0.0	 weight 1.0	 Average 0.0
ID 14	 sum 16.0	 weight 1.0	 Average 16.0
ID 15	 sum 85.0	 weight 1.0	 Average 85.0
ID 16	 sum 14.0	 weight 1.0	 Average 14.0
ID 17	 sum 2.0	 weight 1.0	 Average 2.0
ID 18	 sum 27.0	 weight 1.0	 Average 27.0
ID 19	 sum 50.0	 weight 1.0	 Average 50.0
ID 20	 sum 6.0	 weight 1.0	 Average 6.0
ID 21	 sum 95.0	 weight 1.0	 Average 95.0
ID 22	 sum 59.0	 weight 1.0	 Average 59.0
ID 23	 sum 76.0	 weight 1.0	 Average 76.0
ID 24	 sum 70.0	 weight 1.0	 Average 70.0
ID 25	 sum 99.0	 weight 1.0	 Average 99.0
ID 26	 sum 91.0	 weight 1.0	 Average 91.0
ID 27	 sum 47.0	 weight 1.0	 Average 47.0
ID 28	 sum 97.0	 weight 1.0	 Average 97.0
ID 29	 sum 33.0	 weight 1.0	 Average 33.0
ID 30	 sum 16.0	 weight 1.0	 Average 16.0
ID 31	 sum 16.0	 weight 1.0	 Average 16.0
ID 32	 sum 55.0	 weight 1.0	 Average 55.0
ID 33	 sum 23.0	 weight 1.0	 Average 23.0
ID 34	 sum 2.0	 weight 1.0	 Average 2.0
ID 35	 sum 87.0	 weight 1.0	 Average 87.0
ID 36	 sum 7.0	 weight 1.0	 Average 7.0
ID 37	 sum 86.0	 weight 1.0	 Average 86.0
ID 38	 sum 86.0	 weight 1.0	 Average 86.0
ID 39	 sum 10.0	 weight 1.0	 Average 10.0
ID 40	 sum 55.0	 weight 1.0	 Average 55.0
ID 41	 sum 21.0	 weight 1.0	 Average 21.0
ID 42	 sum 25.0	 weight 1.0	 Average 25.0
ID 43	 sum 52.0	 weight 1.0	 Average 52.0
ID 44	 sum 16.0	 weight 1.0	 Average 16.0
ID 45	 sum 79.0	 weight 1.0	 Average 79.0
ID 46	 sum 9.0	 weight 1.0	 Average 9.0
ID 47	 sum 18.0	 weight 1.0	 Average 18.0
ID 48	 sum 61.0	 weight 1.0	 Average 61.0
ID 49	 sum 32.0	 weight 1.0	 Average 32.0
ID 50	 sum 64.0	 weight 1.0	 Average 64.0
ID 51	 sum 45.0	 weight 1.0	 Average 45.0
ID 52	 sum 88.0	 weight 1.0	 Average 88.0
ID 53	 sum 41.0	 weight 1.0	 Average 41.0
ID 54	 sum 20.0	 weight 1.0	 Average 20.0
ID 55	 sum 6.0	 weight 1.0	 Average 6.0
ID 56	 sum 89.0	 weight 1.0	 Average 89.0
ID 57	 sum 12.0	 weight 1.0	 Average 12.0
ID 58	 sum 80.0	 weight 1.0	 Average 80.0
ID 59	 sum 81.0	 weight 1.0	 Average 81.0
ID 60	 sum 49.0	 weight 1.0	 Average 49.0
ID 61	 sum 46.0	 weight 1.0	 Average 46.0
ID 62	 sum 1.0	 weight 1.0	 Average 1.0
ID 63	 sum 68.0	 weight 1.0	 Average 68.0
ID 64	 sum 87.0	 weight 1.0	 Average 87.0
ID 65	 sum 81.0	 weight 1.0	 Average 81.0
ID 66	 sum 58.0	 weight 1.0	 Average 58.0
ID 67	 sum 42.0	 weight 1.0	 Average 42.0
ID 68	 sum 71.0	 weight 1.0	 Average 71.0
ID 69	 sum 69.0	 weight 1.0	 Average 69.0
ID 70	 sum 3.0	 weight 1.0	 Average 3.0
ID 71	 sum 64.0	 weight 1.0	 Average 64.0
ID 72	 sum 30.0	 weight 1.0	 Average 30.0
ID 73	 sum 99.0	 weight 1.0	 Average 99.0
ID 74	 sum 83.0	 weight 1.0	 Average 83.0
ID 75	 sum 67.0	 weight 1.0	 Average 67.0
ID 76	 sum 95.0	 weight 1.0	 Average 95.0
ID 77	 sum 54.0	 weight 1.0	 Average 54.0
ID 78	 sum 80.0	 weight 1.0	 Average 80.0
ID 79	 sum 60.0	 weight 1.0	 Average 60.0
ID 80	 sum 48.0	 weight 1.0	 Average 48.0
ID 81	 sum 6.0	 weight 1.0	 Average 6.0
ID 82	 sum 22.0	 weight 1.0	 Average 22.0
ID 83	 sum 21.0	 weight 1.0	 Average 21.0
ID 84	 sum 52.0	 weight 1.0	 Average 52.0
ID 85	 sum 85.0	 weight 1.0	 Average 85.0
ID 86	 sum 35.0	 weight 1.0	 Average 35.0
ID 87	 sum 98.0	 weight 1.0	 Average 98.0
ID 88	 sum 95.0	 weight 1.0	 Average 95.0
ID 89	 sum 24.0	 weight 1.0	 Average 24.0
ID 90	 sum 56.0	 weight 1.0	 Average 56.0
ID 91	 sum 29.0	 weight 1.0	 Average 29.0
ID 92	 sum 42.0	 weight 1.0	 Average 42.0
ID 93	 sum 85.0	 weight 1.0	 Average 85.0
ID 94	 sum 56.0	 weight 1.0	 Average 56.0
ID 95	 sum 52.0	 weight 1.0	 Average 52.0
ID 96	 sum 36.0	 weight 1.0	 Average 36.0
ID 97	 sum 19.0	 weight 1.0	 Average 19.0
ID 98	 sum 94.0	 weight 1.0	 Average 94.0
ID 99	 sum 10.0	 weight 1.0	 Average 10.0
ID 100	 sum 36.0	 weight 1.0	 Average 36.0
ID 101	 sum 35.0	 weight 1.0	 Average 35.0
ID 102	 sum 76.0	 weight 1.0	 Average 76.0
ID 103	 sum 33.0	 weight 1.0	 Average 33.0
ID 104	 sum 50.0	 weight 1.0	 Average 50.0
ID 105	 sum 90.0	 weight 1.0	 Average 90.0
ID 106	 sum 55.0	 weight 1.0	 Average 55.0
ID 107	 sum 21.0	 weight 1.0	 Average 21.0
ID 108	 sum 70.0	 weight 1.0	 Average 70.0
ID 109	 sum 13.0	 weight 1.0	 Average 13.0
ID 110	 sum 59.0	 weight 1.0	 Average 59.0
ID 111	 sum 53.0	 weight 1.0	 Average 53.0
ID 112	 sum 43.0	 weight 1.0	 Average 43.0
ID 113	 sum 98.0	 weight 1.0	 Average 98.0
ID 114	 sum 7.0	 weight 1.0	 Average 7.0
ID 115	 sum 62.0	 weight 1.0	 Average 62.0
ID 116	 sum 48.0	 weight 1.0	 Average 48.0
ID 117	 sum 59.0	 weight 1.0	 Average 59.0
ID 118	 sum 51.0	 weight 1.0	 Average 51.0
ID 119	 sum 26.0	 weight 1.0	 Average 26.0
ID 120	 sum 52.0	 weight 1.0	 Average 52.0
ID 121	 sum 85.0	 weight 1.0	 Average 85.0
ID 122	 sum 68.0	 weight 1.0	 Average 68.0
ID 123	 sum 14.0	 weight 1.0	 Average 14.0
ID 124	 sum 22.0	 weight 1.0	 Average 22.0
ID 125	 sum 46.0	 weight 1.0	 Average 46.0
ID 126	 sum 70.0	 weight 1.0	 Average 70.0
ID 127	 sum 73.0	 weight 1.0	 Average 73.0
ID 128	 sum 1.0	 weight 1.0	 Average 1.0
ID 129	 sum 68.0	 weight 1.0	 Average 68.0
ID 130	 sum 86.0	 weight 1.0	 Average 86.0
ID 131	 sum 61.0	 weight 1.0	 Average 61.0
ID 132	 sum 28.0	 weight 1.0	 Average 28.0
ID 133	 sum 24.0	 weight 1.0	 Average 24.0
ID 134	 sum 18.0	 weight 1.0	 Average 18.0
ID 135	 sum 28.0	 weight 1.0	 Average 28.0
ID 136	 sum 15.0	 weight 1.0	 Average 15.0
ID 137	 sum 45.0	 weight 1.0	 Average 45.0
ID 138	 sum 24.0	 weight 1.0	 Average 24.0
ID 139	 sum 59.0	 weight 1.0	 Average 59.0
ID 140	 sum 56.0	 weight 1.0	 Average 56.0
ID 141	 sum 36.0	 weight 1.0	 Average 36.0
ID 142	 sum 43.0	 weight 1.0	 Average 43.0
ID 143	 sum 89.0	 weight 1.0	 Average 89.0
ID 144	 sum 17.0	 weight 1.0	 Average 17.0
ID 145	 sum 37.0	 weight 1.0	 Average 37.0
ID 146	 sum 48.0	 weight 1.0	 Average 48.0
ID 147	 sum 41.0	 weight 1.0	 Average 41.0
ID 148	 sum 33.0	 weight 1.0	 Average 33.0
ID 149	 sum 71.0	 weight 1.0	 Average 71.0
ID 150	 sum 86.0	 weight 1.0	 Average 86.0
ID 151	 sum 10.0	 weight 1.0	 Average 10.0
ID 152	 sum 33.0	 weight 1.0	 Average 33.0
ID 153	 sum 70.0	 weight 1.0	 Average 70.0
ID 154	 sum 63.0	 weight 1.0	 Average 63.0
ID 155	 sum 29.0	 weight 1.0	 Average 29.0
ID 156	 sum 19.0	 weight 1.0	 Average 19.0
ID 157	 sum 8.0	 weight 1.0	 Average 8.0
ID 158	 sum 22.0	 weight 1.0	 Average 22.0
ID 159	 sum 25.0	 weight 1.0	 Average 25.0
ID 160	 sum 57.0	 weight 1.0	 Average 57.0
ID 161	 sum 91.0	 weight 1.0	 Average 91.0
ID 162	 sum 13.0	 weight 1.0	 Average 13.0
ID 163	 sum 0.0	 weight 1.0	 Average 0.0
ID 164	 sum 50.0	 weight 1.0	 Average 50.0
ID 165	 sum 22.0	 weight 1.0	 Average 22.0
ID 166	 sum 94.0	 weight 1.0	 Average 94.0
ID 167	 sum 26.0	 weight 1.0	 Average 26.0
ID 168	 sum 52.0	 weight 1.0	 Average 52.0
ID 169	 sum 94.0	 weight 1.0	 Average 94.0
ID 170	 sum 10.0	 weight 1.0	 Average 10.0
ID 171	 sum 81.0	 weight 1.0	 Average 81.0
ID 172	 sum 92.0	 weight 1.0	 Average 92.0
ID 173	 sum 17.0	 weight 1.0	 Average 17.0
ID 174	 sum 86.0	 weight 1.0	 Average 86.0
ID 175	 sum 28.0	 weight 1.0	 Average 28.0
ID 176	 sum 25.0	 weight 1.0	 Average 25.0
ID 177	 sum 1.0	 weight 1.0	 Average 1.0
ID 178	 sum 66.0	 weight 1.0	 Average 66.0
ID 179	 sum 76.0	 weight 1.0	 Average 76.0
ID 180	 sum 88.0	 weight 1.0	 Average 88.0
ID 181	 sum 49.0	 weight 1.0	 Average 49.0
ID 182	 sum 19.0	 weight 1.0	 Average 19.0
ID 183	 sum 4.0	 weight 1.0	 Average 4.0
ID 184	 sum 99.0	 weight 1.0	 Average 99.0
ID 185	 sum 80.0	 weight 1.0	 Average 80.0
ID 186	 sum 57.0	 weight 1.0	 Average 57.0
ID 187	 sum 24.0	 weight 1.0	 Average 24.0
ID 188	 sum 49.0	 weight 1.0	 Average 49.0
ID 189	 sum 9.0	 weight 1.0	 Average 9.0
ID 190	 sum 59.0	 weight 1.0	 Average 59.0
ID 191	 sum 40.0	 weight 1.0	 Average 40.0
ID 192	 sum 63.0	 weight 1.0	 Average 63.0
ID 193	 sum 89.0	 weight 1.0	 Average 89.0
ID 194	 sum 78.0	 weight 1.0	 Average 78.0
ID 195	 sum 72.0	 weight 1.0	 Average 72.0
ID 196	 sum 50.0	 weight 1.0	 Average 50.0
ID 197	 sum 9.0	 weight 1.0	 Average 9.0
ID 198	 sum 27.0	 weight 1.0	 Average 27.0
ID 199	 sum 66.0	 weight 1.0	 Average 66.0
ID 200	 sum 1.0	 weight 1.0	 Average 1.0
ID 201	 sum 86.0	 weight 1.0	 Average 86.0
ID 202	 sum 70.0	 weight 1.0	 Average 70.0
ID 203	 sum 99.0	 weight 1.0	 Average 99.0
ID 204	 sum 30.0	 weight 1.0	 Average 30.0
ID 205	 sum 16.0	 weight 1.0	 Average 16.0
ID 206	 sum 17.0	 weight 1.0	 Average 17.0
ID 207	 sum 91.0	 weight 1.0	 Average 91.0
ID 208	 sum 92.0	 weight 1.0	 Average 92.0
ID 209	 sum 41.0	 weight 1.0	 Average 41.0
ID 210	 sum 51.0	 weight 1.0	 Average 51.0
ID 211	 sum 43.0	 weight 1.0	 Average 43.0
ID 212	 sum 64.0	 weight 1.0	 Average 64.0
ID 213	 sum 83.0	 weight 1.0	 Average 83.0
ID 214	 sum 87.0	 weight 1.0	 Average 87.0
ID 215	 sum 36.0	 weight 1.0	 Average 36.0
ID 216	 sum 30.0	 weight 1.0	 Average 30.0
ID 217	 sum 26.0	 weight 1.0	 Average 26.0
ID 218	 sum 10.0	 weight 1.0	 Average 10.0
ID 219	 sum 89.0	 weight 1.0	 Average 89.0
ID 220	 sum 20.0	 weight 1.0	 Average 20.0
ID 221	 sum 28.0	 weight 1.0	 Average 28.0
ID 222	 sum 88.0	 weight 1.0	 Average 88.0
ID 223	 sum 71.0	 weight 1.0	 Average 71.0
ID 224	 sum 13.0	 weight 1.0	 Average 13.0
ID 225	 sum 31.0	 weight 1.0	 Average 31.0
ID 226	 sum 42.0	 weight 1.0	 Average 42.0
ID 227	 sum 4.0	 weight 1.0	 Average 4.0
ID 228	 sum 42.0	 weight 1.0	 Average 42.0
ID 229	 sum 72.0	 weight 1.0	 Average 72.0
ID 230	 sum 72.0	 weight 1.0	 Average 72.0
ID 231	 sum 73.0	 weight 1.0	 Average 73.0
ID 232	 sum 79.0	 weight 1.0	 Average 79.0
ID 233	 sum 80.0	 weight 1.0	 Average 80.0
ID 234	 sum 99.0	 weight 1.0	 Average 99.0
ID 235	 sum 51.0	 weight 1.0	 Average 51.0
ID 236	 sum 34.0	 weight 1.0	 Average 34.0
ID 237	 sum 14.0	 weight 1.0	 Average 14.0
ID 238	 sum 48.0	 weight 1.0	 Average 48.0
ID 239	 sum 35.0	 weight 1.0	 Average 35.0
ID 240	 sum 3.0	 weight 1.0	 Average 3.0
ID 241	 sum 75.0	 weight 1.0	 Average 75.0
ID 242	 sum 19.0	 weight 1.0	 Average 19.0
ID 243	 sum 71.0	 weight 1.0	 Average 71.0
ID 244	 sum 85.0	 weight 1.0	 Average 85.0
ID 245	 sum 59.0	 weight 1.0	 Average 59.0
ID 246	 sum 75.0	 weight 1.0	 Average 75.0
ID 247	 sum 14.0	 weight 1.0	 Average 14.0
ID 248	 sum 26.0	 weight 1.0	 Average 26.0
ID 249	 sum 85.0	 weight 1.0	 Average 85.0
ID 250	 sum 35.0	 weight 1.0	 Average 35.0
ID 251	 sum 56.0	 weight 1.0	 Average 56.0
ID 252	 sum 13.0	 weight 1.0	 Average 13.0
ID 253	 sum 25.0	 weight 1.0	 Average 25.0
ID 254	 sum 94.0	 weight 1.0	 Average 94.0
ID 255	 sum 94.0	 weight 1.0	 Average 94.0
ID 256	 sum 89.0	 weight 1.0	 Average 89.0
ID 257	 sum 48.0	 weight 1.0	 Average 48.0
ID 258	 sum 19.0	 weight 1.0	 Average 19.0
ID 259	 sum 52.0	 weight 1.0	 Average 52.0
ID 260	 sum 97.0	 weight 1.0	 Average 97.0
ID 261	 sum 76.0	 weight 1.0	 Average 76.0
ID 262	 sum 62.0	 weight 1.0	 Average 62.0
ID 263	 sum 31.0	 weight 1.0	 Average 31.0
ID 264	 sum 34.0	 weight 1.0	 Average 34.0
ID 265	 sum 47.0	 weight 1.0	 Average 47.0
ID 266	 sum 10.0	 weight 1.0	 Average 10.0
ID 267	 sum 85.0	 weight 1.0	 Average 85.0
ID 268	 sum 72.0	 weight 1.0	 Average 72.0
ID 269	 sum 56.0	 weight 1.0	 Average 56.0
ID 270	 sum 86.0	 weight 1.0	 Average 86.0
ID 271	 sum 33.0	 weight 1.0	 Average 33.0
ID 272	 sum 83.0	 weight 1.0	 Average 83.0
ID 273	 sum 82.0	 weight 1.0	 Average 82.0
ID 274	 sum 17.0	 weight 1.0	 Average 17.0
ID 275	 sum 18.0	 weight 1.0	 Average 18.0
ID 276	 sum 79.0	 weight 1.0	 Average 79.0
ID 277	 sum 96.0	 weight 1.0	 Average 96.0
ID 278	 sum 72.0	 weight 1.0	 Average 72.0
ID 279	 sum 47.0	 weight 1.0	 Average 47.0
ID 280	 sum 95.0	 weight 1.0	 Average 95.0
ID 281	 sum 56.0	 weight 1.0	 Average 56.0
ID 282	 sum 61.0	 weight 1.0	 Average 61.0
ID 283	 sum 52.0	 weight 1.0	 Average 52.0
ID 284	 sum 31.0	 weight 1.0	 Average 31.0
ID 285	 sum 41.0	 weight 1.0	 Average 41.0
ID 286	 sum 48.0	 weight 1.0	 Average 48.0
ID 287	 sum 94.0	 weight 1.0	 Average 94.0
ID 288	 sum 36.0	 weight 1.0	 Average 36.0
ID 289	 sum 22.0	 weight 1.0	 Average 22.0
ID 290	 sum 13.0	 weight 1.0	 Average 13.0
ID 291	 sum 73.0	 weight 1.0	 Average 73.0
ID 292	 sum 47.0	 weight 1.0	 Average 47.0
ID 293	 sum 24.0	 weight 1.0	 Average 24.0
ID 294	 sum 47.0	 weight 1.0	 Average 47.0
ID 295	 sum 59.0	 weight 1.0	 Average 59.0
ID 296	 sum 16.0	 weight 1.0	 Average 16.0
ID 297	 sum 86.0	 weight 1.0	 Average 86.0
ID 298	 sum 39.0	 weight 1.0	 Average 39.0
